sample,tissue,umap1,umap2,kmeans,physiotype,plate,case_id
1ca692e6-1dff-4d84-ace1-671bac7b9f61.rna_seq.augmented_star_gene_counts.tsv,Tumor,-4.5863853,8.427377,2,2,A277,TCGA-44-4112
1d7be20b-b4ca-47bb-9552-689f2e3ff0f7.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.6022496,8.527163,1,1,A24X,TCGA-44-A4SU
1da64d9f-f5dd-4017-bf82-d1a61512b56b.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.9772077,10.719061,0,2,0946,TCGA-67-3770
1e3d606d-e374-460c-a046-b6c98aa8256b.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.8572837,8.999597,1,1,1755,TCGA-67-6217
1efac920-fb46-4ac8-b8b1-d1f2743edefe.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.3545954,8.657086,1,1,2170,TCGA-55-7907
1f71e82c-0781-4d19-bc26-6c3c176827c5.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.4957771,7.0372767,1,1,2090,TCGA-50-5946
1f7293ad-85b2-4d42-afcc-88cf1027cf5f.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.5970018,7.084188,1,2,1206,TCGA-44-3396
1f7938f1-e04e-4ed0-8189-3d701c6fef72.rna_seq.augmented_star_gene_counts.tsv,Tumor,-0.2548372,7.419346,1,1,1206,TCGA-05-4403
20cddb4c-1ad4-4f0e-bd5e-3071f573b2d0.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.1265244,9.296057,1,1,2039,TCGA-97-7547
20ecdb2d-16ad-437b-ac0e-b84339c769a6.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.3367686,10.391639,0,2,A24X,TCGA-97-A4M0
2172f060-6402-44dc-a918-2f9c15c21fa4.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.2116795,4.0648413,1,2,2170,TCGA-55-7815
21893490-77c4-4bc8-b8ea-0a5f16762f6b.rna_seq.augmented_star_gene_counts.tsv,Normal,7.134545,12.5960455,0,3,1858,TCGA-44-6146
21a80f43-21be-4549-901b-c99083021c30.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.8010652,9.940457,0,2,2326,TCGA-62-8397
21eea21d-7db3-4f85-a9e4-72cbb562b5ed.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.41406,9.7777605,0,1,A24H,TCGA-62-A46U
22002e84-1d7a-4f93-9934-9d74f45195c0.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.5442297,8.316766,1,2,2170,TCGA-55-7914
2276a330-e86b-46e1-be45-ae41d217ef66.rna_seq.augmented_star_gene_counts.tsv,Tumor,2.3858042,7.4792123,1,1,A24X,TCGA-97-A4LX
