B_cells,CD8_T,CD4_T,NK,Mono_Macro,DC,Neutrophils,Mast,Endothelial,Fibroblasts,sample,physiotype,case_id,nnls_r2
0.3696157893735116,0.024800635921268844,0.2966924110155559,0.0,0.0,0.1928023150958901,0.0,0.0,0.09287167912716102,0.023217169466343664,12beb3ab-f6e1-42b0-af74-1a8cbb3416c0.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-J2-A4AG,0.5014228757365324
0.0,0.0,0.15438872577415122,0.0,0.15266916275126166,0.1101963458511762,0.03291864761630921,0.1674181947609694,0.025447565797509723,0.35696135744848606,12da2172-3304-4dad-bd80-3039e6d49de3.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-J2-8192,0.7002273149302086
0.04986187070852809,0.0,0.30928106911842074,0.0,0.0,0.22283646907479812,0.01621497053069421,0.295462456481381,0.10634316408584432,0.0,131b98d5-aaf4-4a6c-bb96-c33895cd814a.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-97-A4M7,0.41948249321065145
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984437,0.0,131c0149-e810-4004-97e0-6c8a4aa9049d.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-97-8179,0.09553769942770818
0.1418615135148657,0.1073036248225868,0.3660595542524445,0.0,0.02645593229461007,0.24542794529655929,0.06035849858569075,0.03578514692843407,0.0,0.016747784304522784,143cbdd4-689e-4ba9-b0ad-069629dc7dfa.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-97-A4M6,0.41677081504727287
0.33220894472151835,0.05627809006076807,0.0805649017120832,0.017925190637659332,0.02604810408194242,0.0576688277344108,0.030225447581140374,0.3487927449217918,0.030218815199714213,0.02006893334886523,145db6c5-f7ad-4e2f-88f1-d68bc457848a.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-97-8172,0.7419595752885246
0.0,0.0,0.08898286911858419,0.0,0.595736842807436,0.20654986174655543,0.10873042632667393,0.0,0.0,0.0,14797b04-c56a-4ceb-bd0f-a4e785e90f75.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-05-4398,0.3168848217849882
0.03563391861884575,0.3646120171482148,0.11833606570030505,0.2810109697826482,0.1418425549112133,0.0435777757248963,0.014386435627563017,0.0,0.0,0.0006002624862019411,14aca23b-01ce-4532-8f2f-3b22b05a4757.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-55-8089,0.6314820154668467
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999990181,14e05372-1acb-4479-904b-ce8acef028eb.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-78-7150,0.24811639575499878
0.23563216580360918,0.22214342139408416,0.26914446880742465,0.08978915879276522,0.019102345413989735,0.07850928116367512,0.029445800105060583,0.0,0.015592708701950113,0.04064064981733135,156a175b-b419-4089-8541-7318e3dee78a.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-MP-A4TJ,0.7625053513601733
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160dd8d4-3262-4789-bd92-d5470bc7d41b.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-62-A46S,3.9968028886505635e-14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999110366,0.0,0.0,186b7ed8-cc25-45b6-bf7d-25d7a3a2154a.rna_seq.augmented_star_gene_counts.tsv,3,TCGA-91-6836,2.3480783519325144e-05
0.0,0.0,0.027716190119533007,0.2872518661507245,0.08972777461737767,0.27940712488778974,0.05336432406627435,0.05374892548422401,0.0046608699999090685,0.20412292467401655,1890feb6-9f7f-4437-9828-198ff43e16b0.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-44-3398,0.16130934716171985
0.0,0.0,0.0,0.6305573522206747,0.0,0.0,0.0,0.0,0.3694426477752223,0.0,19853c82-c205-4af9-badd-82946eec14ad.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-78-7220,0.007181053417796401
0.953839052694203,0.0,0.0,0.0,0.0,0.0,0.0,0.04616094730508647,0.0,0.0,1a0143ed-cd70-498f-b094-bc71b6921fb3.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-55-A4DG,0.3740880617695651
0.10181197767729376,0.0,0.13834144735363224,0.019943925641615377,0.13979284315645554,0.03939299436350383,0.07976996423680822,0.0,0.0019589689932042733,0.4789878785773572,1aa0401e-b389-4852-87ef-e1ae357b76dc.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-50-8459,0.6828333495237683
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1c66cca9-ad78-44e5-ab54-be31d4a66437.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-MP-A4T7,4.141131881851834e-14
0.17581802215913322,0.0,0.12637040590269347,0.26463910810978125,0.0,0.0,0.0,0.36189852624511915,0.0,0.0712739375826569,1ca692e6-1dff-4d84-ace1-671bac7b9f61.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-44-4112,0.058540477867022656
0.9999999999985141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1d7be20b-b4ca-47bb-9552-689f2e3ff0f7.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-44-A4SU,0.13417647764635188
0.0,0.0,0.07860688726354266,0.921393112723773,0.0,0.0,0.0,0.0,0.0,0.0,1da64d9f-f5dd-4017-bf82-d1a61512b56b.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-67-3770,0.001302450547896128
0.34024892990073163,0.12515159337265755,0.29634824036972895,0.0,0.0,0.23825123635612083,0.0,0.0,0.0,0.0,1e3d606d-e374-460c-a046-b6c98aa8256b.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-67-6217,0.21382486723390437
0.0,0.952878104829896,0.0,0.047121895166791224,0.0,0.0,0.0,0.0,0.0,0.0,1efac920-fb46-4ac8-b8b1-d1f2743edefe.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-55-7907,0.052426474137095336
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24634602716057266,0.7536539728389949,1f71e82c-0781-4d19-bc26-6c3c176827c5.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-50-5946,0.512703314162873
0.05930830658680603,0.03979423235339656,0.15535367372404163,0.0,0.10526951197739765,0.010756954643245992,0.4143467784288468,0.018559729888111522,0.007632327024720336,0.18897848537314213,1f7293ad-85b2-4d42-afcc-88cf1027cf5f.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-44-3396,0.35958260795777497
0.0,0.0,0.0,0.0,0.8701646340270947,0.05769588746469552,0.07213947850678842,0.0,0.0,0.0,1f7938f1-e04e-4ed0-8189-3d701c6fef72.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-05-4403,0.10282768341899207
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999672844,0.0,20cddb4c-1ad4-4f0e-bd5e-3071f573b2d0.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-97-7547,0.0004008674333844109
